Log_ID,Invoice_ID,Processing_Start_Time,Processing_End_Time,Duration_Seconds,Status,Error_Type,Error_Description,Application_Version,Server_Status
LOG001,INV001,2025-09-18 09:00:00,2025-09-18 09:00:05,5,Success,None,None,1.0.0,Online
LOG002,INV002,2025-09-18 09:00:10,2025-09-18 09:00:16,6,Success,None,None,1.0.0,Online
LOG003,INV003,2025-09-18 09:00:20,2025-09-18 09:00:27,7,Success,None,None,1.0.0,Online
LOG004,INV004,2025-09-18 09:00:30,2025-09-18 09:00:32,2,Failed,Duplicate Invoice,Invoice INV004 already processed.,1.0.0,Online
LOG005,INV005,2025-09-18 09:00:35,2025-09-18 09:00:45,10,Failed,Amount Mismatch,Invoice amount does not match PO amount.,1.0.0,Online
LOG006,INV006,2025-09-18 09:00:50,2025-09-18 09:01:05,15,Failed,Missing PO Number,PO number not found in invoice data.,1.0.0,Online
LOG007,INV007,2025-09-18 09:01:10,2025-09-18 09:01:25,15,Failed,Vendor Not Found,Vendor PQR Logistics not registered in system.,1.0.0,Online
LOG008,INV008,2025-09-18 09:01:30,2025-09-18 09:01:36,6,Success,None,None,1.0.0,Online
LOG009,INV009,2025-09-18 09:01:40,2025-09-18 09:01:55,15,Failed,Date Format Error,Invoice date format invalid.,1.0.0,Online
LOG010,INV010,2025-09-18 09:02:00,2025-09-18 09:02:10,10,Failed,New Vendor Onboarding Required,Vendor New Vendor Co requires onboarding.,1.0.0,Online
LOG011,INV011,2025-09-18 09:02:15,2025-09-18 09:02:20,5,Success,None,None,1.0.0,Online
LOG012,INV012,2025-09-18 09:02:25,2025-09-18 09:02:31,6,Success,None,None,1.0.0,Online
LOG013,INV013,2025-09-18 09:02:35,2025-09-18 09:02:42,7,Success,None,None,1.0.0,Online
LOG014,INV014,2025-09-18 09:02:45,2025-09-18 09:02:47,2,Failed,Duplicate Invoice,Invoice INV014 already processed.,1.0.0,Online
LOG015,INV015,2025-09-18 09:02:50,2025-09-18 09:03:00,10,Failed,Amount Mismatch,Invoice amount does not match PO amount.,1.0.0,Online
LOG016,INV016,2025-09-18 09:03:05,2025-09-18 09:03:20,15,Failed,Missing PO Number,PO number not found in invoice data.,1.0.0,Online
LOG017,INV017,2025-09-18 09:03:25,2025-09-18 09:03:40,15,Failed,Vendor Not Found,Vendor PQR Logistics not registered in system.,1.0.0,Online
LOG018,INV018,2025-09-18 09:03:45,2025-09-18 09:03:51,6,Success,None,None,1.0.0,Online
LOG019,INV019,2025-09-18 09:03:55,2025-09-18 09:04:10,15,Failed,Date Format Error,Invoice date format invalid.,1.0.0,Online
LOG020,INV020,2025-09-18 09:04:15,2025-09-18 09:04:25,10,Failed,New Vendor Onboarding Required,Vendor New Vendor Co requires onboarding.,1.0.0,Online
LOG021,INV021,2025-09-18 09:04:30,2025-09-18 09:04:40,10,Failed,Server Crash,RPA bot unresponsive due to server issue.,1.0.0,Offline
LOG022,INV022,2025-09-18 09:04:45,2025-09-18 09:05:05,20,Failed,Slow Response,Application responded slowly, timed out.,1.0.0,Online
LOG023,INV023,2025-09-18 09:05:10,2025-09-18 09:05:15,5,Success,None,None,1.0.1,Online
LOG024,INV024,2025-09-18 09:05:20,2025-09-18 09:05:25,5,Success,None,None,1.0.1,Online
LOG025,INV025,2025-09-18 09:05:30,2025-09-18 09:05:40,10,Failed,Application Change,UI elements changed, bot failed to identify fields.,1.0.1,Online
